categorySlug,name,slug,sku,image,price,strikePrice,shortDescription,description,stock,isFeatured,isActive
cotton-kurtis,Printed Cotton Straight Kurti,printed-cotton-straight-kurti,KURTI-001,https://ik.imagekit.io/nicks/products/kurti-001.jpg,799.00,1299.00,Soft cotton straight kurti for daily wear,This printed cotton straight kurti is designed with breathable fabric and a clean ethnic look. It is perfect for office wear daily wear and casual outings,25,true,true
rayon-kurtis,Rayon Embroidered A Line Kurti,rayon-embroidered-a-line-kurti,KURTI-002,https://ik.imagekit.io/nicks/products/kurti-002.jpg,999.00,1599.00,Elegant rayon A line kurti with embroidery,This rayon A line kurti comes with soft fabric and graceful embroidery work. It gives a premium ethnic look for office parties small functions and casual styling,18,true,true
anarkali-kurtis,Floral Print Anarkali Kurti,floral-print-anarkali-kurti,KURTI-003,https://ik.imagekit.io/nicks/products/kurti-003.jpg,1199.00,1899.00,Beautiful floral Anarkali kurti with flared design,This floral print Anarkali kurti offers a graceful flared silhouette and comfortable fabric. It is suitable for festive wear family gatherings and traditional occasions,15,true,true
straight-kurtis,Solid Black Straight Kurti,solid-black-straight-kurti,KURTI-004,https://ik.imagekit.io/nicks/products/kurti-004.jpg,699.00,1099.00,Classic solid black kurti for everyday use,This solid black straight kurti is a wardrobe essential with a simple stylish look. Pair it with leggings palazzo pants or jeans for office college and travel wear,30,false,true
chikankari-kurtis,White Chikankari Cotton Kurti,white-chikankari-cotton-kurti,KURTI-005,https://ik.imagekit.io/nicks/products/kurti-005.jpg,1399.00,2199.00,Premium white chikankari cotton kurti,This white chikankari kurti features delicate embroidery with soft cotton comfort. It is ideal for festive styling ethnic office wear family functions and summer occasions,12,true,true
cotton-kurtis,Indigo Block Print Cotton Kurti,indigo-block-print-cotton-kurti,KURTI-006,https://ik.imagekit.io/nicks/products/kurti-006.jpg,899.00,1499.00,Indigo block print cotton kurti for casual wear,This indigo block print kurti brings a handcrafted ethnic feel with breathable cotton fabric. It is perfect for everyday comfort office styling and casual outings,22,false,true
rayon-kurtis,Maroon Rayon Printed Kurti,maroon-rayon-printed-kurti,KURTI-007,https://ik.imagekit.io/nicks/products/kurti-007.jpg,849.00,1399.00,Stylish maroon rayon kurti with modern print,This maroon rayon kurti is made for comfort and style with a soft drape and elegant print. It can be styled easily for college office and casual events,20,false,true
festive-kurtis,Mustard Embroidered Festive Kurti,mustard-embroidered-festive-kurti,KURTI-008,https://ik.imagekit.io/nicks/products/kurti-008.jpg,1499.00,2499.00,Mustard festive kurti with embroidery detail,This mustard embroidered kurti adds a bright festive charm to your wardrobe. The premium finish makes it suitable for celebrations family functions and ethnic party wear,10,true,true
straight-kurtis,Navy Blue Office Wear Kurti,navy-blue-office-wear-kurti,KURTI-009,https://ik.imagekit.io/nicks/products/kurti-009.jpg,749.00,1199.00,Navy blue straight kurti for office styling,This navy blue office wear kurti has a clean straight fit and comfortable fabric. It is perfect for professional daily wear with leggings trousers or palazzo,28,false,true
anarkali-kurtis,Pink Printed Anarkali Kurti,pink-printed-anarkali-kurti,KURTI-010,https://ik.imagekit.io/nicks/products/kurti-010.jpg,1299.00,2099.00,Pink printed Anarkali kurti with ethnic charm,This pink Anarkali kurti features beautiful print work and a graceful flare. It is suitable for festive wear casual parties family events and traditional styling,14,true,true
cotton-kurtis,Yellow Floral Cotton Kurti,yellow-floral-cotton-kurti,KURTI-011,https://ik.imagekit.io/nicks/products/kurti-011.jpg,799.00,1299.00,Fresh yellow floral cotton kurti for summer,This yellow floral cotton kurti is light breathable and stylish for warm days. It gives a fresh ethnic look for daily wear shopping and casual outings,26,false,true
rayon-kurtis,Green Rayon Angrakha Kurti,green-rayon-angrakha-kurti,KURTI-012,https://ik.imagekit.io/nicks/products/kurti-012.jpg,1099.00,1799.00,Green Angrakha style rayon kurti,This green rayon Angrakha kurti has a stylish wrap inspired design with soft comfortable fabric. It is ideal for casual events festive styling and everyday ethnic fashion,16,true,true
chikankari-kurtis,Pastel Pink Chikankari Kurti,pastel-pink-chikankari-kurti,KURTI-013,https://ik.imagekit.io/nicks/products/kurti-013.jpg,1599.00,2599.00,Pastel pink chikankari kurti with elegant work,This pastel pink chikankari kurti is designed with traditional embroidery and a soft graceful look. It is perfect for brunch festive occasions and ethnic office wear,11,true,true
straight-kurtis,Beige Minimal Straight Kurti,beige-minimal-straight-kurti,KURTI-014,https://ik.imagekit.io/nicks/products/kurti-014.jpg,699.00,1099.00,Minimal beige straight kurti for daily wear,This beige minimal kurti offers simple styling with comfortable fabric and a smart straight fit. It is great for office wear daily errands and casual styling,32,false,true
festive-kurtis,Red Gota Work Festive Kurti,red-gota-work-festive-kurti,KURTI-015,https://ik.imagekit.io/nicks/products/kurti-015.jpg,1699.00,2799.00,Red festive kurti with gota work detail,This red festive kurti comes with elegant gota inspired detailing and a rich ethnic appeal. It is a good choice for festivals family events and celebrations,9,true,true
cotton-kurtis,Peach Hand Block Cotton Kurti,peach-hand-block-cotton-kurti,KURTI-016,https://ik.imagekit.io/nicks/products/kurti-016.jpg,949.00,1499.00,Peach hand block cotton kurti,This peach hand block cotton kurti blends traditional print style with soft breathable fabric. It is suitable for workwear casual meetups and everyday ethnic looks,21,false,true
rayon-kurtis,Purple Printed Rayon Kurti,purple-printed-rayon-kurti,KURTI-017,https://ik.imagekit.io/nicks/products/kurti-017.jpg,899.00,1499.00,Purple rayon kurti with stylish printed pattern,This purple printed rayon kurti offers a soft comfortable feel and a stylish ethnic design. It is perfect for college office casual outings and travel,24,false,true
anarkali-kurtis,Sea Green Anarkali Kurti,sea-green-anarkali-kurti,KURTI-018,https://ik.imagekit.io/nicks/products/kurti-018.jpg,1399.00,2299.00,Sea green Anarkali kurti with graceful flare,This sea green Anarkali kurti is designed with an elegant flare and comfortable fabric. It gives a graceful look for festive occasions family gatherings and ethnic events,13,true,true
straight-kurtis,Rust Orange Straight Kurti,rust-orange-straight-kurti,KURTI-019,https://ik.imagekit.io/nicks/products/kurti-019.jpg,849.00,1399.00,Rust orange straight kurti for smart ethnic look,This rust orange straight kurti has a clean silhouette and rich color tone. It is ideal for office wear casual styling daily use and semi formal occasions,19,false,true
festive-kurtis,Royal Blue Embroidered Kurti,royal-blue-embroidered-kurti,KURTI-020,https://ik.imagekit.io/nicks/products/kurti-020.jpg,1799.00,2999.00,Royal blue embroidered kurti for festive wear,This royal blue embroidered kurti gives a premium ethnic look with elegant detailing. It is suitable for festivals parties family functions and celebration wear,8,true,true
